Rank,Name,Physical Location,Mailing Address,Landmark Address,Telephone,Contact First Name,Contact Last Name,Contact Title,Contact Gender,Contact Email,Toll-Free Phone,Fax Number,Web Url,Census Tract,Census Block Grp,Business Description,NAICS-Primary,Private-Govt,Business Location Status,Emp Size,Annual Sales,Yr. Estab,Last Update,Release,"$1,372,276,000"
21,Du Pont Pioneer,"1-385 Kaumualii Hwy
Waimea, HI 96796
(21.954852, -159.666381)","PO Box 609
Waimea, HI 96796",,8083388300,,,,U,,,8083388325,,40900,2,Seeds & Bulbs-Wholesale,42491000,Private,Branch office,100-249,"$203,230,000",1999,201608,172,
1,Grand Hyatt-Kauai Resort & Spa,"1571 Poipu Rd
Koloa, HI 96756
(21.877327, -159.440047)",,,8087421234,Jerry,Gibson,President,M,,8007422353,8087421557,http://HYATT.COM,40603,2,Hotels & Motels,72111000,Private,Branch office,500-999,"$95,527,000",1990,201607,172,
48,Hale Kapuna Heritage Home,"4297 Omao Rd # C
Koloa, HI 96756
(21.926608, -159.485499)","PO Box 1287
Koloa, HI 96756",,8087427591,Alisa,Razelo,Administrator,F,ARAZELO@HALEKUPUNA.COM,,8087426563,http://OHANAPACIFIC.COM,40604,3,Nursing & Convalescent Homes,62311000,Private,Single location,100-249,"$9,985,000",1988,201608,172,
41,Hawaii Human Resources Inc,"2970 Kele St # 213
Lihue, HI 96766
(21.974234, -159.369477)",,,8086952222,Sean,Knox,President,M,,,8086952353,http://HAWAIICOUNTY.GOV,40500,4,Human Resource Consultants,54161200,Private,Branch office,100-249,"$13,889,000",2009,201607,172,
37,Home Depot,"4320 Nuhou St
Lihue, HI 96766
(21.969037, -159.381097)",,,8086322740,Charlotte,Sabea,Site Manager,F,CHARLOTTE_SABEA@HOMEDEPOT.COM,,,http://HOMEDEPOT.COM,40400,2,Home Centers,44411000,Private,Branch office,100-249,"$40,331,000",2003,201502,172,
2,Ilima Terrace,"1571 Poipu Rd
Koloa, HI 96756
(21.877327, -159.440047)",,,8087421234,Kyle,Begg,General Mgr,M,,,,http://KAUAI.HYATT.COM,40603,2,Restaurants,72251100,Private,Single location,500-999,"$53,741,000",2013,201604,172,
38,Kapaa Elementary School,"4886 Kawaihau Rd
Kapaa, HI 96746
(22.089932, -159.314144)",,,8088214424,Jason,Kuloloia,Principal,M,JASON_KULOLOIA@NOTES.K12.HI.US,,8088214431,http://KAPAA.K12.HI.US,40300,1,Schools,61111000,Private,Single location,100-249,,1999,201702,172,
28,Kapaa High School,"4695 Mailihuna Rd
Kapaa, HI 96746
(22.091928, -159.313045)",,,8088214400,Daniel,Hamada,Principal,M,DANILE_HAMADA@NOTES.K12.HI.US,,8088214420,http://KAPAAHIGHSCHOOL.NET,40300,1,Schools,61111000,Private,Single location,100-249,,1996,201609,172,
47,Kapaa Middle School,"4867 Olohena Rd
Kapaa, HI 96746
(22.081457, -159.332085)",,,8088214460,Nathan,Aiwohi,Principal,M,NATHAN.AIWOHI@NOTES.HI.US,,8088216967,http://TRULIA.COM,40205,3,Schools,61111000,Private,Single location,100-249,,2000,201502,172,
13,Kauai Coast Resrt At the Beachboy,"520 Aleka Loop
Kapaa, HI 96746
(22.055038, -159.327529)",,,8088223441,Troy,Spaulding,General Mgr,M,,8667297182,8088220843,http://SHELLHOSPITALITY.COM,40205,1,Resorts,72119900,Private,Branch office,250-499,"$26,536,000",1957,201610,172,
49,Kauai Community Correctional,"3-5351 Kuhio Hwy
Lihue, HI 96766
(22.025866, -159.342437)",,,8082413050,,,,U,,,8082413059,http://KAUAIVACATIONRENTALS.COM,40400,1,State Govt-Correctional Institutions,92214000,State,Branch office,100-249,,2007,201605,172,
29,Kauai High School,"3577 Lala Rd
Lihue, HI 96766
(21.959548, -159.359186)",,,8082743160,Linda,Smith,Principal,F,LINDA_LT_SMITH@NOTES.K12.HI.US,,8082743170,http://KAUAIHIGH.ORG,40500,5,Schools,61111000,Private,Single location,100-249,,2000,201502,172,
45,Kauai Island Utility Co-Op,"4463 Pahee St # 1
Lihue, HI 96766
(21.96986, -159.38412)",,,8082464300,David,Bissell,CEO,M,,,8082468257,http://KIUC.COOP,40400,2,Electric Companies,22112200,Private,Single location,100-249,"$55,934,000",1905,201608,172,
11,Kauai Medical Clinic,"3-3420B Kuhio Hwy # B
Lihue, HI 96766
(21.987642, -159.366118)",,"Kauai Medical Clinic
Lihue, HI 96766",8082451523,Lynne,Joseph,CEO,F,,,8082461625,http://HAWAIIPACIFICHEALTH.ORG,40500,1,Physicians & Surgeons,62111100,Private,Single location,250-499,"$45,497,000",1921,201410,172,
18,Kauai Police Dept,"3990 Kaana St # 200
Lihue, HI 96766
(21.977293, -159.360687)",,,8082411711,Darryl,Perry,Manager,M,,,8082455402,http://KAUAI.GOV,40500,2,Government Offices-County,92112000,County,Single location,100-249,,1987,201612,172,
12,Kauai Veterans Memorial Hosp,"4643 Waimea Canyon Dr
Waimea, HI 96796
(21.954852, -159.666381)","PO Box 337
Waimea, HI 96796","West Kauai Medical Ctr
Waimea, HI 96796",8083389431,Peter,Klune,CEO,M,,,,http://KVMH.COM,40900,2,Hospitals,62211000,State,Subsidiary HQ,250-499,,2012,201412,172,
35,Keoki's Paradise,"2360 Kiahuna Plantation Dr # 7
Koloa, HI 96756
(21.879487, -159.459807)",,"Poipu Shopping Vlg
Koloa, HI 96756",8087427534,Derek,Kessler,General Mgr,M,DEREK@KEOKIS.COM,,8087427847,http://KEOKISPARADISE.COM,40603,1,Full-Service Restaurant,72251100,Private,Single location,100-249,"$8,957,000",1986,201702,172,
36,Kmart,"4303 Nawiliwili Rd # 100
Lihue, HI 96766
(21.965519, -159.371168)",,,8082457742,Jarett,Chytka,Site Manager,M,,,,http://KMART.COM,40400,2,Department Stores,45221000,Private,Branch office,100-249,"$39,934,000",2001,201610,172,
52,Koa Kea Hotel and Resort,"2251 Poipu Rd
Koloa, HI 96756
(21.87761, -159.456715)",,,8088288888,Jeff,Olpin,General Mgr,M,JEFF.OLPIN@KOAKEA.COM,,,http://KOAKEA.COM,40603,2,Resorts,72119900,Private,Single location,100-249,"$10,721,000",2015,201607,172,
25,Koloa Landing,"2641 Poipu Rd
Koloa, HI 96756
(21.881648, -159.466745)",,,8082406600,,,,U,,8885953868,8082406601,http://WYNDHAM.COM,40603,2,Hotels & Motels,72111000,Private,Branch office,100-249,"$21,229,000",2014,201611,172,
30,Kukui'ula Development Co Hi,"4637 Amio Rd
Koloa, HI 96756
(21.884109, -159.486989)",,,8087428000,Paul,Horner,Manager,M,,8557420234,,,40604,1,Real Estate Developers,23721000,Private,Single location,100-249,"$46,528,000",2008,201702,172,
4,Marriott-Kauai Resort,"3610 Rice St
Lihue, HI 96766
(21.965581, -159.357213)",,"Kauai Marriott Resort
Lihue, HI 96766",8082455050,Paul,Poner,General Mgr,M,PAUL.PONER@MARRIOTT.COM,8002289290,8082455049,http://MARRIOTT.COM,40500,1,Hotels & Motels,72111000,Private,Branch office,500-999,"$63,685,000",1960,201605,172,
19,Marriott-Waiohai Beach Club,"2249 Poipu Rd
Koloa, HI 96756
(21.877194, -159.45546)",,,8087424400,Christina,Gadriel,General Mgr,F,,8008455279,8087424410,http://MARRIOTT.COM,40603,2,Convention & Meeting Facilities & Svc,56192000,Private,Branch office,100-249,"$17,400,000",2003,201612,172,
22,Outrigger Kiahuna Plantation,"2253 Poipu Rd # B
Koloa, HI 96756
(21.877885, -159.457512)",,,8087426411,Chris,Gampon,Manager,M,CHRISGAMPON@OUTRIGGER.COM,8006887444,8087421698,http://OUTRIGGER.COM,40603,1,Condominiums,53111000,Private,Branch office,100-249,"$26,378,000",1986,201701,172,
33,Palms Restaurant,"3-5920 Kuhio Hwy
Kapaa, HI 96746
(22.181543, -159.357043)",,,8088231643,Trichael,Pangan,Director,F,,,,http://ASTONHOTELS.COM,940000,1,Restaurants,72251100,Private,Single location,100-249,"$8,957,000",2009,201610,172,
43,Poipu Bay Resort Golf Course,"2250 Ainako St
Koloa, HI 96756
(21.877168, -159.437303)",,,8087429489,Dean,Uyehara,Administrator,M,,8008586300,8087427155,http://POIPUBAYGOLF.COM,40603,2,Golf Courses,71391000,Private,Single location,100-249,"$16,582,000",1979,201608,172,
17,Princeville Wine Market,"5-4280 Kuhio Hwy
Princeville, HI 96722
(22.217115, -159.476039)",,"Princeville Ctr
Princeville, HI 96722",8088260040,Jay,Furfaro,Manager,M,,,8088269592,http://PRINCEVILLEWINEMARKET.COM,40103,3,Shopping Centers & Malls,53112000,Private,Single location,100-249,"$9,932,000",2004,201612,172,
14,Quintus Resorts LLC,"5380 Honoiki Rd
Princeville, HI 96722
(22.22028, -159.493002)",,,8088266522,Scott,Pacer,General Mgr,M,SCOTTP@TRADINGPLACES.COM,8008274427,8088266680,,40103,4,Resorts,72119900,Private,Single location,250-499,"$26,536,000",1978,201502,172,
40,Roberts Hawaii Tours,"3-4567 Kuhio Hwy
Lihue, HI 96766
(21.975003, -159.368852)",,,8082459558,,,,U,,,,http://ROBERTSHAWAII.COM,40500,2,Tours-Operators & Promoters,56152000,Private,Branch office,100-249,"$12,122,000",2012,201610,172,
8,Samuel Mahelona Mem Hospital,"4800 Kawaihau Rd
Kapaa, HI 96746
(22.087612, -159.31406)","1250 Punchbowl St # 256
Honolulu, HI 96813
(21.307282, -157.855366)",,8088224961,Peter,Klune,CEO,M,PETERKLUNE@HHSC.ORG,,8085864745,http://SMMH.HHSC.ORG,40300,1,Hospitals,62211000,State,Subsidiary HQ,250-499,,1996,201605,172,
51,Securitas Security Svc USA,"3501 Rice St # 215
Lihue, HI 96766
(21.961777, -159.353003)",,"Pacific Ocean Plz
Lihue, HI 96766",8082456270,Paul,Hurley,General Mgr,M,,,,http://SECURITAS.COM/US/EN,40500,4,Security Guard & Patrol Service,56161200,Private,Branch office,100-249,"$3,887,000",2007,201608,172,
26,Shearton Hawaii Resorts,"2440 Hoonani Rd
Koloa, HI 96756
(21.876745, -159.461641)",,"Sheraton Kauai Resort
Koloa, HI 96756",8087421661,Jacob,Vogelgesange,Director,M,,,8087429777,http://SHERATON-KAUAI.COM,40603,2,Restaurants,72251100,Private,Single location,100-249,"$11,883,000",1998,201607,172,
10,Sheraton Kauai Resort,"2440 Hoonani Rd
Koloa, HI 96756
(21.876718, -159.461685)",,"Sheraton Kauai Resort
Koloa, HI 96756",8087421661,Chip,Bahouth,General Mgr,M,CHIP.BAHOUTH@SHERATON.COM,8003253535,8087429777,http://STARWOODHOTELS.COM/SHERATON,40603,2,Hotels & Motels,72111000,Private,Branch office,250-499,"$31,843,000",1937,201511,172,
6,St Regis Princeville Resort,"5520 Ka Haku Rd
Princeville, HI 96722
(22.221279, -159.496484)","PO Box 223069
Princeville, HI 96722","Princeville Hotel
Princeville, HI 96722",8088269644,Valerie,Iwasaki,Director,F,VALERIE.IWASAKI@STREGIS.COM,8777873447,8088261166,http://STARWOODHOTELS.COM,40103,4,Hotels & Motels,72111000,Private,Branch office,250-499,"$38,211,000",1985,201701,172,
20,University of Hawaii Systems,"3-1901 Kaumualii Hwy
Lihue, HI 96766
(21.96705, -159.395726)",,,8082458235,Helen,Cox,Manager,F,HELENCOX@HAWAII.EDU,,8082458220,http://KAUAIHAWAII.EDU,40400,4,Schools-Universities & Colleges Academic,61131000,Private,Single location,100-249,,1988,201701,172,
46,Unlimited Construction,"1696 Haleukana St
Lihue, HI 96766
(21.960772, -159.395407)",,,8082411400,Brett,Schmauch,Vice President,M,UNLIMITED@UNLIMITEDHAWAII.COM,,,http://UNLIMITEDHAWAII.COM,40400,1,Construction Companies,23611500,Private,Single location,100-249,"$37,194,000",1990,201611,172,
42,Waimea High School,"9707 Tsuchiya Rd
Waimea, HI 96796
(21.954852, -159.666381)","PO Box 339
Waimea, HI 96796","Clem Gomes Gym
Waimea, HI 96796",8083386804,Mahina,Anguay,Principal,F,MAHINA_ANGUAY@NOTES.K12.HI.US,,8083386807,http://WAIMEAHIGHSCHOOL.ORG,40900,2,Schools,61111000,Private,Single location,100-249,,1984,201608,172,
7,Walmart,"3-3300 Kuhio Hwy
Lihue, HI 96766
(21.982772, -159.367159)",,,8082461599,Jamie,Whitehead,Site Manager,F,,8009256278,8082461856,http://WALMART.COM,40500,1,Department Stores,45221000,Private,Branch office,250-499,"$98,209,000",1995,201611,172,
16,Westin Princeville Ocean Resort,"3838 Wyllie Rd
Princeville, HI 96722
(22.221812, -159.468347)",,,8088278700,Denise,Wardlow,General Mgr,F,DENISE.WARDLOW@WESTIN.COM,8009378461,,http://STARWOODHOTELS.COM/WESTIN,40103,3,Hotels & Motels,72111000,Private,Branch office,100-249,"$26,323,000",2008,201701,172,
5,Wilcox Memorial Hospital,"3-3420 Kuhio Hwy
Lihue, HI 96766
(21.986228, -159.366276)",,"Wilcox Memorial Hospital
Lihue, HI 96766",8082451100,Jen,Chahanovich,CEO,F,JEN.CHAHANOVICH@WILCOXHEALTH.ORG,,8082461625,http://WILCOXHEALTH.ORG,40500,1,Hospitals,62211000,Private,Subsidiary HQ,250-499,,1921,201507,172,
32,Wilcox School,"4319 Hardy St
Lihue, HI 96766
(21.976349, -159.364212)",,,8082743154,Terry,Proctor,Principal,M,TERRY_PROCTOR@NOTES.K12.HI.US,,8082743152,,40500,2,Schools,61111000,Private,Single location,100-249,,1984,201612,172,
9,Wyndham Vacation Rentals,"4-484 Kuhio Hwy
Kapaa, HI 96746
(22.055108, -159.32918)",,"Coconut Marketplace
Kapaa, HI 96746",8088227417,Sandy,Klute,General Mgr,F,,,,http://WYNDHAMWORLDWIDE.COM,40205,1,Vacation Time Sharing Plans,81299000,Private,Branch office,250-499,"$6,969,000",2011,201701,172,
